Name,State,Race,Count,Poverty%,Insured,Population,Poverty Rank,2019Poverty%,2014Poverty%
Vulva,Arkansas,Asian or Pacific Islander,0,18.8,90.6,3004279,45,17.0%,19.2%
Vagina,Arkansas,American Indian or Alaska Native,0,18.8,90.6,3004279,45,17.0%,19.2%
Corpus Uteri,Arkansas,Black or African American,49,18.8,90.6,3004279,45,17.0%,19.2%
Other Female Genital Organs,Arkansas,Asian or Pacific Islander,0,18.8,90.6,3004279,45,17.0%,19.2%
Vulva,Arkansas,American Indian or Alaska Native,0,18.8,90.6,3004279,45,17.0%,19.2%
Ovary,Arkansas,Black or African American,21,18.8,90.6,3004279,45,17.0%,19.2%
Other Female Genital Organs,Arkansas,Other Races and Unknown combined,0,18.8,90.6,3004279,45,17.0%,19.2%
Vulva,Arkansas,Other Races and Unknown combined,0,18.8,90.6,3004279,45,17.0%,19.2%
Vagina,Arkansas,Asian or Pacific Islander,0,18.8,90.6,3004279,45,17.0%,19.2%
"Uterus, NOS",Arkansas,Asian or Pacific Islander,0,18.8,90.6,3004279,45,17.0%,19.2%
Other Female Genital Organs,Arkansas,American Indian or Alaska Native,0,18.8,90.6,3004279,45,17.0%,19.2%
Cervix Uteri,Arkansas,Black or African American,26,18.8,90.6,3004279,45,17.0%,19.2%
Corpus Uteri,Arkansas,White,363,18.8,90.6,3004279,45,17.0%,19.2%
Ovary,Arkansas,White,188,18.8,90.6,3004279,45,17.0%,19.2%
Cervix Uteri,Arkansas,White,123,18.8,90.6,3004279,45,17.0%,19.2%
Vulva,Arkansas,White,50,18.8,90.6,3004279,45,17.0%,19.2%
Vulva,South Carolina,Other Races and Unknown combined,0,17.2,87.9,5024369,41,15.2%,18.3%
Vulva,South Carolina,Asian or Pacific Islander,0,17.2,87.9,5024369,41,15.2%,18.3%
Cervix Uteri,South Carolina,American Indian or Alaska Native,0,17.2,87.9,5024369,41,15.2%,18.3%
Vagina,South Carolina,American Indian or Alaska Native,0,17.2,87.9,5024369,41,15.2%,18.3%
Vulva,South Carolina,American Indian or Alaska Native,0,17.2,87.9,5024369,41,15.2%,18.3%
Other Female Genital Organs,South Carolina,Asian or Pacific Islander,0,17.2,87.9,5024369,41,15.2%,18.3%
Corpus Uteri,South Carolina,American Indian or Alaska Native,0,17.2,87.9,5024369,41,15.2%,18.3%
Vagina,South Carolina,Asian or Pacific Islander,0,17.2,87.9,5024369,41,15.2%,18.3%
"Uterus, NOS",South Carolina,American Indian or Alaska Native,0,17.2,87.9,5024369,41,15.2%,18.3%
Cervix Uteri,South Carolina,Black or African American,75,17.2,87.9,5024369,41,15.2%,18.3%
Ovary,South Carolina,Black or African American,65,17.2,87.9,5024369,41,15.2%,18.3%
Other Female Genital Organs,South Carolina,American Indian or Alaska Native,0,17.2,87.9,5024369,41,15.2%,18.3%
Corpus Uteri,South Carolina,Black or African American,215,17.2,87.9,5024369,41,15.2%,18.3%
Other Female Genital Organs,South Carolina,White,35,17.2,87.9,5024369,41,15.2%,18.3%
Corpus Uteri,South Carolina,White,535,17.2,87.9,5024369,41,15.2%,18.3%
Ovary,South Carolina,White,225,17.2,87.9,5024369,41,15.2%,18.3%
Vulva,South Carolina,White,77,17.2,87.9,5024369,41,15.2%,18.3%
Other Female Genital Organs,West Virginia,Black or African American,0,17.7,93.5,1815857,47,17.6%,18.1%
Cervix Uteri,West Virginia,American Indian or Alaska Native,0,17.7,93.5,1815857,47,17.6%,18.1%
Vulva,West Virginia,Other Races and Unknown combined,0,17.7,93.5,1815857,47,17.6%,18.1%
Other Female Genital Organs,West Virginia,American Indian or Alaska Native,0,17.7,93.5,1815857,47,17.6%,18.1%
Ovary,West Virginia,American Indian or Alaska Native,0,17.7,93.5,1815857,47,17.6%,18.1%
Vagina,West Virginia,Asian or Pacific Islander,0,17.7,93.5,1815857,47,17.6%,18.1%
Cervix Uteri,West Virginia,Asian or Pacific Islander,0,17.7,93.5,1815857,47,17.6%,18.1%
