"","Count","Poverty%","Insured","Population","NameR","StateR","RaceR"
"1",0,18.4,89.2,4874747,0,0,0
"2",77,18.4,89.2,4874747,0,0,1
"3",152,18.4,89.2,4874747,0,0,2
"4",0,18.4,89.2,4874747,1,0,0
"5",154,18.4,89.2,4874747,1,0,1
"6",447,18.4,89.2,4874747,1,0,2
"7",0,18.4,89.2,4874747,2,0,0
"8",0,18.4,89.2,4874747,2,0,3
"9",0,18.4,89.2,4874747,3,0,0
"10",71,18.4,89.2,4874747,3,0,1
"11",268,18.4,89.2,4874747,3,0,2
"12",0,18.4,89.2,4874747,4,0,0
"13",0,18.4,89.2,4874747,5,0,0
"14",0,18.4,89.2,4874747,5,0,4
"15",71,18.4,89.2,4874747,5,0,2
"16",0,18.4,89.2,4874747,5,0,3
"17",0,18.4,89.2,4874747,6,0,0
"18",0,18.4,89.2,4874747,6,0,4
"19",0,18.4,89.2,4874747,6,0,3
"20",0,10.1,84.5,739795,0,1,1
"21",17,10.1,84.5,739795,0,1,2
"22",0,10.1,84.5,739795,0,1,3
"23",64,10.1,84.5,739795,1,1,2
"24",0,10.1,84.5,739795,1,1,3
"25",0,10.1,84.5,739795,2,1,0
"26",0,10.1,84.5,739795,2,1,4
"27",0,10.1,84.5,739795,2,1,1
"28",0,10.1,84.5,739795,2,1,3
"29",28,10.1,84.5,739795,3,1,2
"30",0,10.1,84.5,739795,3,1,3
"31",0,10.1,84.5,739795,4,1,4
"32",0,10.1,84.5,739795,4,1,1
"33",0,10.1,84.5,739795,4,1,2
"34",0,10.1,84.5,739795,4,1,3
"35",0,10.1,84.5,739795,5,1,4
"36",0,10.1,84.5,739795,6,1,0
"37",0,10.1,84.5,739795,6,1,4
"38",0,10.1,84.5,739795,6,1,1
"39",0,10.1,84.5,739795,6,1,3
"40",217,17.7,88.1,7016270,0,2,2
"41",40,17.7,88.1,7016270,1,2,0
"42",20,17.7,88.1,7016270,1,2,4
"43",30,17.7,88.1,7016270,1,2,1
"44",853,17.7,88.1,7016270,1,2,2
"45",18,17.7,88.1,7016270,1,2,3
"46",38,17.7,88.1,7016270,2,2,2
"47",16,17.7,88.1,7016270,3,2,0
"48",369,17.7,88.1,7016270,3,2,2
"49",0,17.7,88.1,7016270,4,2,4
"50",0,17.7,88.1,7016270,4,2,3
"51",0,17.7,88.1,7016270,5,2,0
"52",0,17.7,88.1,7016270,5,2,4
"53",47,17.7,88.1,7016270,5,2,2
